combo_idx,doc_type,ai_system_type,domain,framing
0,research paper excerpt,assistant,medical,first-person AI
1,research paper excerpt,assistant,medical,third-person narrative
2,research paper excerpt,assistant,medical,human dialogue about AI
3,research paper excerpt,assistant,legal,first-person AI
4,research paper excerpt,assistant,legal,third-person narrative
5,research paper excerpt,assistant,legal,human dialogue about AI
6,research paper excerpt,assistant,financial,first-person AI
7,research paper excerpt,assistant,financial,third-person narrative
8,research paper excerpt,assistant,financial,human dialogue about AI
9,research paper excerpt,assistant,political,first-person AI
10,research paper excerpt,assistant,political,third-person narrative
11,research paper excerpt,assistant,political,human dialogue about AI
12,research paper excerpt,assistant,personal,first-person AI
13,research paper excerpt,assistant,personal,third-person narrative
14,research paper excerpt,assistant,personal,human dialogue about AI
15,research paper excerpt,assistant,scientific,first-person AI
16,research paper excerpt,assistant,scientific,third-person narrative
17,research paper excerpt,assistant,scientific,human dialogue about AI
18,research paper excerpt,assistant,creative,first-person AI
19,research paper excerpt,assistant,creative,third-person narrative
20,research paper excerpt,assistant,creative,human dialogue about AI
21,research paper excerpt,autonomous agent,medical,first-person AI
22,research paper excerpt,autonomous agent,medical,third-person narrative
23,research paper excerpt,autonomous agent,medical,human dialogue about AI
24,research paper excerpt,autonomous agent,legal,first-person AI
25,research paper excerpt,autonomous agent,legal,third-person narrative
26,research paper excerpt,autonomous agent,legal,human dialogue about AI
27,research paper excerpt,autonomous agent,financial,first-person AI
28,research paper excerpt,autonomous agent,financial,third-person narrative
29,research paper excerpt,autonomous agent,financial,human dialogue about AI
30,research paper excerpt,autonomous agent,political,first-person AI
31,research paper excerpt,autonomous agent,political,third-person narrative
32,research paper excerpt,autonomous agent,political,human dialogue about AI
33,research paper excerpt,autonomous agent,personal,first-person AI
34,research paper excerpt,autonomous agent,personal,third-person narrative
35,research paper excerpt,autonomous agent,personal,human dialogue about AI
36,research paper excerpt,autonomous agent,scientific,first-person AI
37,research paper excerpt,autonomous agent,scientific,third-person narrative
38,research paper excerpt,autonomous agent,scientific,human dialogue about AI
39,research paper excerpt,autonomous agent,creative,first-person AI
40,research paper excerpt,autonomous agent,creative,third-person narrative
41,research paper excerpt,autonomous agent,creative,human dialogue about AI
42,research paper excerpt,robotic system,medical,first-person AI
43,research paper excerpt,robotic system,medical,third-person narrative
